ENSEMBL	OriginalENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENTREZID	SYMBOL	GENENAME
ENSG00000015285	ENSG00000015285.10	120.670561932196	-1.42014875903168	0.34562420214173	13.8180537479665	0.000201391740722863	0.00122932875066248	7454	WAS	WASP actin nucleation promoting factor
ENSG00000016391	ENSG00000016391.10	949.537776314046	-1.14694456394785	0.283591157001158	17.0030149213636	3.73205105833007e-05	0.000279684197578656	55349	CHDH	choline dehydrogenase
ENSG00000016402	ENSG00000016402.13	64.3852136181879	-1.44588361461492	0.392623476079201	13.9459195720655	0.000188145598825766	0.00116175170300677	53832	IL20RA	interleukin 20 receptor subunit alpha
ENSG00000017427	ENSG00000017427.15	67.6716775731834	1.44147673465693	0.305524293519269	19.3554637470624	1.08508333627517e-05	9.35086522143016e-05	3479	IGF1	insulin like growth factor 1
ENSG00000018280	ENSG00000018280.16	186.810610274085	-3.23018890393034	0.331675710516269	78.9080097664555	6.50703973544787e-19	4.24934080080756e-17	6556	SLC11A1	solute carrier family 11 member 1
ENSG00000018408	ENSG00000018408.14	516.38242531058	-1.48952193456398	0.480818008295623	9.32721492832633	0.0022577524606146	0.00986043084269737	25937	WWTR1	WW domain containing transcription regulator 1
ENSG00000019505	ENSG00000019505.7	2901.09394232342	1.54992152160374	0.197434518570653	51.5511266551306	6.9756647330524e-13	2.22288049708019e-11	57586	SYT13	synaptotagmin 13
ENSG00000020129	ENSG00000020129.15	14814.9867169403	1.25823485925911	0.273962065621661	16.7516286260508	4.26056782866037e-05	0.000314241791577448	23154	NCDN	neurochondrin
ENSG00000020577	ENSG00000020577.13	1261.50537724394	-1.14237458997501	0.343593337615306	11.0946470281863	0.000865772609393906	0.00436299320006436	23034	SAMD4A	sterile alpha motif domain containing 4A
ENSG00000020633	ENSG00000020633.18	25.1852960804739	-1.09482108073577	0.349730567688536	10.1213960640927	0.00146557947105534	0.00684134141050105	864	RUNX3	RUNX family transcription factor 3
ENSG00000021300	ENSG00000021300.13	22007.0861019494	-1.45238199942585	0.287331438371015	26.9015867296966	2.1408305112477e-07	2.693037895019e-06	58473	PLEKHB1	pleckstrin homology domain containing B1
ENSG00000021355	ENSG00000021355.12	290.911404731112	-1.32587642883359	0.250088147217024	29.4503946196236	5.73663574912382e-08	8.10645638146566e-07	1992	SERPINB1	serpin family B member 1
ENSG00000021488	ENSG00000021488.12	21.8820180732235	-1.28706787689701	0.372632133811457	12.5825758339634	0.000389359732505862	0.00218016427930604	11136	SLC7A9	solute carrier family 7 member 9
ENSG00000021645	ENSG00000021645.18	1698.75050976808	1.13983885363505	0.0998443220728944	121.814979470902	2.53400918056979e-28	3.86629078154309e-26	9369	NRXN3	neurexin 3
ENSG00000022355	ENSG00000022355.16	3053.42540162073	1.86031193131325	0.102709532768371	287.847231109874	1.46430349770151e-64	2.10789671762606e-61	2554	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1
ENSG00000022556	ENSG00000022556.15	97.94782645538	1.53572386807704	0.305700984169632	23.9863403242705	9.70215946291415e-07	1.06898102381905e-05	55655	NLRP2	NLR family pyrin domain containing 2
ENSG00000022567	ENSG00000022567.9	936.759987210635	1.09133740360173	0.216765022446691	21.4349857893909	3.66030967924932e-06	3.52499107534223e-05	57210	SLC45A4	solute carrier family 45 member 4
ENSG00000023445	ENSG00000023445.13	75.5930424899063	-1.43445627047638	0.192140677631536	57.7347588931725	2.99955219160998e-14	1.15345149259018e-12	330	BIRC3	baculoviral IAP repeat containing 3
ENSG00000023697	ENSG00000023697.12	281.254043222551	-1.07913450083967	0.189898912527225	33.9666616229939	5.60645185165486e-09	9.60786823791102e-08	51071	DERA	deoxyribose-phosphate aldolase
ENSG00000025708	ENSG00000025708.13	192.356157344324	-2.11164344850846	0.371581890230138	25.0905362812439	5.47006566866094e-07	6.3346766080341e-06	1890	TYMP	thymidine phosphorylase
ENSG00000026025	ENSG00000026025.14	5298.91106366153	-1.0868669039826	0.345169192615429	10.1911815721202	0.00141113864526065	0.00663279236313667	7431	VIM	vimentin
ENSG00000026297	ENSG00000026297.15	997.79905754213	-1.05204190079002	0.272202109321289	12.6419382134865	0.000377188714188118	0.00212098185089239	8635	RNASET2	ribonuclease T2
ENSG00000026508	ENSG00000026508.16	298.273007262583	-2.61217966568518	0.619192586666098	18.0867322515539	2.11067059875006e-05	0.000169376317894053	960	CD44	CD44 molecule (Indian blood group)
ENSG00000028137	ENSG00000028137.17	335.833879837021	-1.69074901188383	0.261882180526024	37.2173586386724	1.05668972687835e-09	2.07508541917054e-08	7133	TNFRSF1B	TNF receptor superfamily member 1B
ENSG00000029534	ENSG00000029534.19	604.644724977444	1.68660059087221	0.255760645224624	34.4264029696757	4.42677231680219e-09	7.81268681433922e-08	286	ANK1	ankyrin 1
ENSG00000030419	ENSG00000030419.16	152.420539279561	-1.35232590123777	0.352287442150636	15.1178914178088	0.000101001513589727	0.000670824295575178	22807	IKZF2	IKAROS family zinc finger 2
ENSG00000031081	ENSG00000031081.10	572.57306112575	-1.15630216924738	0.33451995996108	12.4701727064459	0.000413501859559495	0.00230172042168045	57514	ARHGAP31	Rho GTPase activating protein 31
ENSG00000031698	ENSG00000031698.12	3818.72235299188	1.10510027310711	0.297852879586572	10.5082651303168	0.00118841778310321	0.00572407977607858	6301	SARS1	seryl-tRNA synthetase 1
ENSG00000033327	ENSG00000033327.12	3379.7587968204	-1.20214907711445	0.149062252191113	68.3004453179508	1.4038927655344e-16	7.08559231312174e-15	9846	GAB2	GRB2 associated binding protein 2
ENSG00000038427	ENSG00000038427.15	1652.35388187072	-2.49088615514765	0.292852326290743	73.1840716822729	1.18105057535937e-17	6.71879785216038e-16	1462	VCAN	versican
ENSG00000039560	ENSG00000039560.13	292.316427642599	-1.39583818255248	0.35751225340745	15.7614801452537	7.18505947601509e-05	0.000495604446232049	26064	RAI14	retinoic acid induced 14
ENSG00000040608	ENSG00000040608.13	1472.3240905389	1.66932949545595	0.319053027850103	20.4364241757504	6.16452841398203e-06	5.63038265540775e-05	65078	RTN4R	reticulon 4 receptor
ENSG00000041353	ENSG00000041353.9	364.724999021537	1.19319114369281	0.153763734544402	55.1290497492132	1.12870337136371e-13	4.00538477197012e-12	5874	RAB27B	RAB27B, member RAS oncogene family
ENSG00000041982	ENSG00000041982.15	101.699223542126	-2.04018030022147	0.521453123765703	14.8579381229623	0.000115919182833478	0.000756697205132812	3371	TNC	tenascin C
ENSG00000042062	ENSG00000042062.11	80.6282144496538	-1.31484873669491	0.171764002961007	60.4234828268434	7.64949370724713e-15	3.16583858941557e-13	140876	RIPOR3	RIPOR family member 3
ENSG00000042317	ENSG00000042317.16	347.592093210976	1.17711251784962	0.148248848532673	60.4114631935655	7.69634624412754e-15	3.17488604074523e-13	55812	SPATA7	spermatogenesis associated 7
ENSG00000042493	ENSG00000042493.15	362.689463213477	-1.38356316511249	0.279812450630685	25.4456333536457	4.55026401203813e-07	5.35185403817301e-06	822	CAPG	capping actin protein, gelsolin like
ENSG00000047457	ENSG00000047457.13	828.94857963876	-4.12064138208311	0.480517387427959	64.7181042564478	8.64172044421094e-16	3.99049821739721e-14	1356	CP	ceruloplasmin
ENSG00000047597	ENSG00000047597.5	203.970625336857	1.11115402153967	0.147838677872289	53.9393380657476	2.06776036785602e-13	7.11657775668868e-12	7504	XK	X-linked Kx blood group
ENSG00000047617	ENSG00000047617.14	46.5374807444084	-1.84034555157689	0.244645974123101	59.3959852338009	1.28931852078254e-14	5.14313818127579e-13	57101	ANO2	anoctamin 2
ENSG00000047849	ENSG00000047849.21	19716.0250742495	-1.04033013838856	0.218385178870746	23.9377947555096	9.94990866735149e-07	1.09373016622623e-05	4134	MAP4	microtubule associated protein 4
ENSG00000047936	ENSG00000047936.10	24.9412635600766	2.31383304880808	0.401592409321714	31.3401616633815	2.16553283074604e-08	3.30408417019219e-07	6098	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase
ENSG00000049130	ENSG00000049130.13	364.426333337205	1.2389638337362	0.124309495136203	95.9616831976463	1.17128596099011e-22	1.09858659723574e-20	4254	KITLG	KIT ligand
ENSG00000049245	ENSG00000049245.12	2124.14771192574	-1.05821118736451	0.284131001488246	14.5510904496067	0.000136409682211079	0.000873745050943435	9341	VAMP3	vesicle associated membrane protein 3
ENSG00000049283	ENSG00000049283.17	103.415527387923	2.32162308784239	0.217974062317605	107.773482484026	3.01321066753051e-25	3.58864719393049e-23	55040	EPN3	epsin 3
ENSG00000050327	ENSG00000050327.14	25.3861639364526	-1.56507679207119	0.44772067193457	12.2700957316559	0.000460274658798625	0.00252933339056659	7984	ARHGEF5	Rho guanine nucleotide exchange factor 5
ENSG00000050405	ENSG00000050405.13	545.851723442699	-1.06898933014969	0.212018321856866	26.8321368331901	2.21916117815404e-07	2.78628014590452e-06	51474	LIMA1	LIM domain and actin binding 1
ENSG00000050438	ENSG00000050438.16	1901.7753765968	1.18684543167356	0.15593798544194	50.7650332129222	1.04112074354696e-12	3.22455254425597e-11	9498	SLC4A8	solute carrier family 4 member 8
ENSG00000050748	ENSG00000050748.17	3234.61767372905	1.28252003981456	0.144748809678547	69.5250217240253	7.54512411594289e-17	3.92785399928857e-15	5601	MAPK9	mitogen-activated protein kinase 9
ENSG00000051596	ENSG00000051596.9	393.101068172779	1.04729146513828	0.29262768979688	10.1384006658413	0.00145212098804889	0.00678879889767168	84321	THOC3	THO complex 3
ENSG00000051620	ENSG00000051620.10	372.042425602216	-1.18290127318111	0.240417155906922	25.4992293173051	4.42559662981882e-07	5.21820081255952e-06	23593	HEBP2	heme binding protein 2
ENSG00000053108	ENSG00000053108.16	407.22701858876	2.0415322773459	0.267032116338016	45.7184155813782	1.36533138554747e-11	3.5734985647503e-10	23105	FSTL4	follistatin like 4
ENSG00000054179	ENSG00000054179.11	262.670213616364	-1.7144625516176	0.331592473786518	28.0752636686268	1.16687828154691e-07	1.55845796787966e-06	954	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2
ENSG00000054219	ENSG00000054219.10	53.395704645542	-1.00894439843386	0.225027649435205	20.8621950593363	4.93539909743002e-06	4.60298954131861e-05	4065	LY75	lymphocyte antigen 75
ENSG00000054277	ENSG00000054277.13	692.109917642832	1.21439108674613	0.120673024738368	97.4006590415699	5.66271793318706e-23	5.43440371159102e-21	23596	OPN3	opsin 3
ENSG00000054803	ENSG00000054803.3	556.823756630445	2.35889891529074	0.161459313033468	183.155193545784	9.92078051386399e-42	4.32193581623056e-39	140689	CBLN4	cerebellin 4 precursor
ENSG00000056558	ENSG00000056558.10	398.271895734558	-1.34869359301434	0.174152657920943	60.5975883347826	7.00197399297513e-15	2.90511725480468e-13	7185	TRAF1	TNF receptor associated factor 1
ENSG00000056736	ENSG00000056736.9	603.28849777069	-1.48316735463586	0.209535246020636	52.5330701633295	4.23064059419579e-13	1.38685425181414e-11	55540	IL17RB	interleukin 17 receptor B
ENSG00000056972	ENSG00000056972.18	251.104574075107	-1.21800198999684	0.222778752008351	31.5202687645229	1.9736928024181e-08	3.03392670745212e-07	10758	TRAF3IP2	TRAF3 interacting protein 2
ENSG00000057294	ENSG00000057294.14	47.0953571840611	1.34453527304152	0.217355384542885	38.8339436794809	4.61433815969437e-10	9.59046592148907e-09	5318	PKP2	plakophilin 2
ENSG00000057593	ENSG00000057593.13	53.6303319954718	1.93938204718384	0.319091255548595	33.1323815032115	8.60929406687458e-09	1.42879758025138e-07	2155	F7	coagulation factor VII
ENSG00000058091	ENSG00000058091.16	2009.23394124735	1.4465902896532	0.113005206583214	151.652851733406	7.54568089324295e-35	1.90709884499527e-32	5218	CDK14	cyclin dependent kinase 14
ENSG00000058335	ENSG00000058335.15	3105.82856176366	1.54025302471216	0.18108827745738	61.357897092463	4.75878707460286e-15	1.99947565041911e-13	5923	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
ENSG00000059588	ENSG00000059588.9	1302.1049866557	1.14779875012161	0.0859414132185593	171.130297183444	4.19085833287636e-39	1.54172365048004e-36	6894	TARBP1	TAR (HIV-1) RNA binding protein 1
ENSG00000060138	ENSG00000060138.12	750.454964294066	-2.7730804078556	0.361124469972197	56.6613167038996	5.17720477458916e-14	1.92814480182084e-12	8531	YBX3	Y-box binding protein 3
ENSG00000060237	ENSG00000060237.16	10500.0645264315	-1.50188853738105	0.360375325178364	17.4817505694022	2.90078834107764e-05	0.000223666048404144	65125	WNK1	WNK lysine deficient protein kinase 1
ENSG00000062524	ENSG00000062524.15	71.4011714974593	1.43208592612864	0.240137063004738	33.6902807605772	6.4622759326641e-09	1.09163007068661e-07	4058	LTK	leukocyte receptor tyrosine kinase
ENSG00000062822	ENSG00000062822.12	193.966540042457	-1.11437149303938	0.248901652053624	17.8160767385119	2.43318648459939e-05	0.000192222312857555	5424	POLD1	DNA polymerase delta 1, catalytic subunit
ENSG00000063015	ENSG00000063015.19	1039.7506193255	1.08558292846068	0.291115656807136	10.7322707407932	0.00105283170362331	0.00516877296489684	124925	SEZ6	seizure related 6 homolog
ENSG00000064393	ENSG00000064393.15	19181.5005668532	-1.78948671770731	0.37986400749098	22.3219696569483	2.30553789314144e-06	2.34009975794052e-05	28996	HIPK2	homeodomain interacting protein kinase 2
ENSG00000064666	ENSG00000064666.14	114.847242491087	-1.05917273326332	0.271137621368226	14.9073939544386	0.000112919536599768	0.000738864216854092	1265	CNN2	calponin 2
ENSG00000064787	ENSG00000064787.13	20699.6398447565	-1.95821851017428	0.307947717001608	41.3603071383688	1.26602152369044e-10	2.8612086435404e-09	8537	BCAS1	brain enriched myelin associated protein 1
ENSG00000064886	ENSG00000064886.13	61.6592236359532	-4.88642155287664	0.45618893573451	103.742212994424	2.30428975668658e-24	2.53464217787827e-22	1117	CHI3L2	chitinase 3 like 2
ENSG00000064932	ENSG00000064932.15	428.339373990086	-1.35829951661467	0.115698165431508	136.548820890105	1.51346400184214e-31	3.01863130343321e-29	22904	SBNO2	strawberry notch homolog 2
ENSG00000064961	ENSG00000064961.18	518.096567354054	-1.05396080191745	0.18012933422193	34.3057945073118	4.70977399281479e-09	8.24621402052378e-08	10362	HMG20B	high mobility group 20B
ENSG00000064989	ENSG00000064989.12	181.175260973105	-1.08123903312067	0.30249991324966	13.4343657533011	0.000247056496418115	0.00147543173519253	10203	CALCRL	calcitonin receptor like receptor
ENSG00000065320	ENSG00000065320.8	303.749001871869	-1.34651327554043	0.233830670963182	33.4534474453816	7.29902834464997e-09	1.22299357015696e-07	9423	NTN1	netrin 1
ENSG00000065325	ENSG00000065325.12	76.509160764552	1.8013131525387	0.307369805540284	30.9197779587678	2.68917247192686e-08	4.03059354336924e-07	9340	GLP2R	glucagon like peptide 2 receptor
ENSG00000065559	ENSG00000065559.14	2076.965549989	1.04398342857281	0.110146693754223	82.5922192655534	1.00853287141332e-19	7.25902496513557e-18	6416	MAP2K4	mitogen-activated protein kinase kinase 4
ENSG00000065618	ENSG00000065618.17	30.1086411770065	1.05883137766436	0.281788020803325	14.675876771082	0.00012766983992823	0.0008228578411882	1308	COL17A1	collagen type XVII alpha 1 chain
ENSG00000065809	ENSG00000065809.13	2471.38361046347	-1.08665797254256	0.285618047767406	15.2991183810597	9.17593261297941e-05	0.000616239255341045	83641	FAM107B	family with sequence similarity 107 member B
ENSG00000065911	ENSG00000065911.11	168.58970026325	-1.5815649446963	0.14727766641881	115.510929999975	6.08228966435501e-27	8.64285530030601e-25	10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
ENSG00000065978	ENSG00000065978.18	2109.7855316498	-1.04675907639992	0.0858734282994161	152.354083763598	5.30198924238634e-35	1.35033509097053e-32	4904	YBX1	Y-box binding protein 1
ENSG00000065989	ENSG00000065989.15	1532.0425062938	1.03103391251686	0.134303588666125	53.6162160777251	2.43739232812537e-13	8.29389749145971e-12	5141	PDE4A	phosphodiesterase 4A
ENSG00000066248	ENSG00000066248.14	5530.85179209049	2.01734456119193	0.329603544603192	26.5870848101726	2.51922206538535e-07	3.13567381063322e-06	25791	NGEF	neuronal guanine nucleotide exchange factor
ENSG00000066336	ENSG00000066336.11	226.817791620196	-1.55386435432701	0.412579069979692	10.1218133194255	0.00146524772272627	0.00684134141050105	6688	SPI1	Spi-1 proto-oncogene
ENSG00000067057	ENSG00000067057.16	4613.52526392493	1.40261053925806	0.234988618634035	28.9122494237784	7.57324650744355e-08	1.04432577515597e-06	5214	PFKP	phosphofructokinase, platelet
ENSG00000067066	ENSG00000067066.16	185.14139228396	-1.64916742254226	0.271502272363761	38.6675862093181	5.0248469325307e-10	1.0372048446955e-08	6672	SP100	SP100 nuclear antigen
ENSG00000067182	ENSG00000067182.7	682.98977188609	-1.98428674302209	0.193052731403743	110.50840503793	7.58232433083131e-26	9.73035566936023e-24	7132	TNFRSF1A	TNF receptor superfamily member 1A
ENSG00000067191	ENSG00000067191.15	2690.78793326546	1.39121394440636	0.207267776479837	37.9847964802514	7.12980607405163e-10	1.4350197526187e-08	782	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
ENSG00000067225	ENSG00000067225.17	22131.3458272	1.02199695894626	0.195307809958353	23.7299386190975	1.10844756355785e-06	1.20594859701045e-05	5315	PKM	pyruvate kinase M1/2
ENSG00000067715	ENSG00000067715.13	15726.9693080555	1.59437279055203	0.188229687458555	60.184834998619	8.63549746014607e-15	3.534149386996e-13	6857	SYT1	synaptotagmin 1
ENSG00000067842	ENSG00000067842.17	1426.2704707514	1.49656302473011	0.258999770102956	26.9190743663511	2.12154731010836e-07	2.67081026199154e-06	492	ATP2B3	ATPase plasma membrane Ca2+ transporting 3
ENSG00000067955	ENSG00000067955.13	545.98412022341	-1.55857164964119	0.377837966473101	17.190493552658	3.38124166006684e-05	0.000256412116635715	865	CBFB	core-binding factor subunit beta
